Class,TimeAccLoz1Dol-min(x),TimeAccLoz1Dol-max(x),TimeAccLoz1Dol-mean(x),TimeAccLoz1Dol-rms(x),TimeAccLoz1Dol-std(x),FFTAccSignal1-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal1-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal1-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal1-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeAccLoz1Gor-min(x),TimeAccLoz1Gor-max(x),TimeAccLoz1Gor-mean(x),TimeAccLoz1Gor-rms(x),TimeAccLoz1Gor-std(x),FFTAccSignal2-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal2-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal2-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal2-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeAccOsZ-min(x),TimeAccOsZ-max(x),TimeAccOsZ-mean(x),TimeAccOsZ-rms(x),TimeAccOsZ-std(x),FFTAccSignal3-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal3-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal3-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal3-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeAccProbka-min(x),TimeAccProbka-max(x),TimeAccProbka-mean(x),TimeAccProbka-rms(x),TimeAccProbka-std(x),FFTAccSignal4-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal4-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal4-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal4-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeMicSignal-min(x),TimeMicSignal-max(x),TimeMicSignal-mean(x),TimeMicSignal-rms(x),TimeMicSignal-std(x),FFTMic-RMSFilter(x_10_500_25000_16000),FFTMic-RMSFilter(x_500_1000_25000_16000),FFTMic-RMSFilter(x_1000_2000_25000_16000),FFTMic-RMSFilter(x_2000_3000_25000_16000),FFTMic-RMSFilter(x_3000_4000_25000_16000),FFTMic-RMSFilter(x_4000_5000_25000_16000),FFTMic-RMSFilter(x_5000_6000_25000_16000),FFTMic-RMSFilter(x_6000_7000_25000_16000),FFTMic-RMSFilter(x_7000_8000_25000_16000),FFTMic-RMSFilter(x_8000_9000_25000_16000),FFTMic-RMSFilter(x_9000_10000_25000_16000),FFTMic-RMSFilter(x_10000_11000_25000_16000),FFTMic-RMSFilter(x_11000_12500_25000_16000)
3,-67.37,60.595,0.0012527,4.4051,4.4051,0.018546,0.024469,0.26624,0.25115,0.13626,0.050982,0.061146,0.037818,-45.701,50.34,0.0023267,3.7776,3.7776,0.011908,0.013501,0.30409,0.16986,0.085617,0.053224,0.043215,0.017456,-39.476,40.147,0.00048522,2.641,2.641,0.0040997,0.0043958,0.064971,0.059167,0.041465,0.012378,0.015859,0.010127,-333.98,275.35,-2.5911,34.28,34.182,0.15087,0.098533,1.1574,0.37319,0.13658,0.18999,0.078209,0.040254,-5.43,6.5644,0.00030642,0.60103,0.60103,0.0071806,0.01035,0.0054206,0.0047862,0.0078265,0.0038964,0.0042431,0.008731,0.022427,0.0088142,0.0032581,0.0044241,0.0048923
3,-40.88,39.491,0.0058956,3.2739,3.2739,0.018284,0.022878,0.12886,0.17879,0.13403,0.034425,0.046525,0.02957,-41.215,35.081,0.0037712,2.8451,2.8451,0.012534,0.012709,0.13962,0.13866,0.048404,0.035718,0.033102,0.014267,-28.672,33.738,0.0026641,2.1394,2.1394,0.0055806,0.0063037,0.032778,0.051329,0.030954,0.0078932,0.012312,0.0080272,-320.73,282.27,0.76794,15.898,15.88,0.040346,0.017438,0.60122,0.36067,0.10538,0.12776,0.068108,0.018318,-3.5931,3.524,0.00098903,0.50654,0.50654,0.0077563,0.010332,0.0043404,0.00558,0.0081319,0.0036497,0.0045241,0.0087512,0.01854,0.0060335,0.0031607,0.0044002,0.0028705
3,-55.208,46.846,0.0035499,3.6414,3.6414,0.017991,0.024813,0.17736,0.18071,0.12154,0.035858,0.046387,0.031245,-40.895,45.137,0.002082,3.1608,3.1608,0.012511,0.015314,0.20016,0.12122,0.05817,0.037258,0.033044,0.014847,-38.621,32.579,0.00072665,2.3365,2.3365,0.005858,0.0046329,0.029312,0.039741,0.028981,0.0079242,0.012523,0.0085791,-393.89,209.28,-2.1273,34.115,34.049,0.14119,0.067008,0.71644,0.32454,0.1394,0.11473,0.059806,0.033585,-3.4175,3.5125,0.00041328,0.5099,0.5099,0.0089799,0.010195,0.0055832,0.0050635,0.0068754,0.0043732,0.0042088,0.0087326,0.016994,0.00602,0.0031021,0.0037822,0.0041789
3,-38.331,47.685,0.0030395,3.4841,3.4841,0.01846,0.020373,0.15232,0.17072,0.13617,0.03433,0.045136,0.031117,-39.201,34.989,0.0021775,2.9381,2.9382,0.012366,0.00997,0.16103,0.11675,0.058952,0.035835,0.031846,0.015455,-29.328,34.257,0.0017949,2.1334,2.1334,0.0058366,0.0035325,0.022314,0.052334,0.030575,0.0070121,0.012471,0.008466,-336.79,207.51,-0.7983,35.006,34.997,0.38485,0.08057,0.54732,0.32415,0.22573,0.097332,0.053782,0.06521,-2.9943,2.9165,0.00093708,0.47822,0.47822,0.0095634,0.010589,0.0047592,0.0049247,0.0067229,0.0048054,0.0044169,0.008925,0.015366,0.0065081,0.0032483,0.0035931,0.0034342
3,-93.631,80.035,0.0024594,4.1946,4.1946,0.017556,0.023472,0.18166,0.28998,0.17652,0.042651,0.062402,0.03554,-62.319,52.232,0.0022176,3.5598,3.5598,0.012679,0.012498,0.20792,0.19648,0.061853,0.044063,0.04356,0.016726,-43.306,34.684,0.0025957,2.611,2.611,0.0046399,0.0042731,0.043186,0.061056,0.04187,0.011026,0.015595,0.0096193,-307.31,228.23,0.39703,35.798,35.796,0.48464,0.85586,0.65135,0.31814,0.28423,0.14084,0.054938,0.089306,-6.2102,4.7678,0.00071596,0.55338,0.55338,0.008343,0.010055,0.0049347,0.0049897,0.0073189,0.004507,0.004735,0.0095207,0.019194,0.010129,0.0037035,0.0042568,0.0039162
3,-38.621,47.609,0.001082,3.6848,3.6848,0.01765,0.021158,0.20611,0.15873,0.14762,0.035863,0.046648,0.034169,-44.633,44.557,0.001446,3.0852,3.0853,0.012142,0.0093256,0.231,0.11268,0.063076,0.037343,0.033156,0.017089,-41.841,43.748,0.0011708,2.222,2.222,0.0075259,0.0086911,0.030465,0.039726,0.045653,0.0078745,0.012933,0.0097529,-343.85,500.0,6.4042,72.58,72.297,1.829,0.35472,0.36534,0.2772,0.32266,0.078335,0.059504,0.097491,-3.7515,3.2505,0.00076179,0.49915,0.49915,0.0080539,0.010381,0.0045528,0.005705,0.0076758,0.0041297,0.0043276,0.010835,0.01548,0.0078125,0.0034656,0.0036333,0.0027287
3,-66.286,76.235,0.0043577,3.9173,3.9173,0.017823,0.029394,0.16116,0.17315,0.10983,0.034961,0.044511,0.02681,-57.054,63.112,0.0019614,3.4868,3.4868,0.011565,0.017033,0.184,0.11369,0.054766,0.036407,0.031655,0.01279,-68.148,49.394,0.0024127,2.6659,2.6659,0.0022422,0.0060992,0.024598,0.039758,0.024149,0.0076092,0.012763,0.0072446,-437.24,412.11,-2.8473,38.158,38.051,1.3875,0.60444,0.28308,0.27978,0.36812,0.072989,0.049523,0.095468,-4.192,3.8954,0.00036764,0.52232,0.52232,0.0074532,0.01084,0.0045754,0.0049727,0.007759,0.0043365,0.0044887,0.0094029,0.014735,0.0084584,0.0036982,0.0035542,0.0025395
3,-41.78,45.915,0.0015732,3.5237,3.5237,0.017634,0.019936,0.16788,0.15615,0.13852,0.033889,0.04381,0.030962,-38.087,37.37,6.2946e-05,2.9855,2.9855,0.011619,0.0090613,0.18459,0.11878,0.058266,0.035469,0.031264,0.0143,-25.529,25.651,0.0017473,2.0023,2.0023,0.0067793,0.0031154,0.028825,0.04693,0.028623,0.0079876,0.012568,0.0081211,-379.65,289.94,-3.3675,53.979,53.874,0.46149,0.50984,0.27199,0.3155,0.27624,0.079345,0.048526,0.070452,-3.0634,3.262,0.0002664,0.51063,0.51063,0.0090047,0.011244,0.0051627,0.0053101,0.0078617,0.0042653,0.0046719,0.0087755,0.016594,0.0079047,0.0034588,0.0049835,0.0046863
3,-46.77,41.963,0.00060729,3.5631,3.5631,0.018224,0.018702,0.14156,0.18496,0.13554,0.0375,0.047677,0.030591,-43.092,38.392,0.00042313,3.1339,3.1339,0.01117,0.0071557,0.15987,0.12359,0.052774,0.039479,0.034075,0.014001,-27.97,34.379,0.0024152,2.6264,2.6264,0.0050437,0.0018664,0.031511,0.044787,0.040506,0.0085045,0.013248,0.0085738,-323.27,360.71,2.2664,55.697,55.651,1.7536,0.47051,0.43863,0.3336,0.14877,0.091277,0.055082,0.043833,-3.3369,3.5528,0.00024528,0.49767,0.49767,0.0080635,0.010745,0.0043654,0.0048417,0.007656,0.0042086,0.0047455,0.010004,0.016007,0.0077823,0.0033615,0.003845,0.0030383
3,-41.719,44.572,0.0029175,3.7267,3.7267,0.017039,0.021903,0.1579,0.17226,0.12979,0.036623,0.047618,0.033429,-44.954,39.232,0.001612,3.2096,3.2096,0.012665,0.0093726,0.16935,0.12043,0.054453,0.038481,0.03385,0.016311,-43.825,37.614,0.00049816,2.3019,2.3019,0.0083193,0.006199,0.031464,0.048453,0.032163,0.008982,0.013396,0.0092877,-319.36,310.6,-0.49406,39.981,39.978,0.67634,1.3903,0.43586,0.35811,0.062018,0.1002,0.06344,0.018178,-3.4117,3.2448,0.00026618,0.50863,0.50863,0.0079458,0.011552,0.0046176,0.0052074,0.008361,0.0043634,0.0049074,0.0087937,0.016646,0.0078288,0.0034052,0.0043219,0.0028634
